scope,in_dist_frac,shift_frac,eaa_frac
1.5b/amazon,0.20849615140311875,nan,nan
1.5b/goodreads,0.34745606892877634,nan,nan
1.5b/yelp,0.36556022371333885,nan,nan
3b/amazon,0.29392517597549783,nan,nan
3b/goodreads,0.39224832725433484,nan,nan
3b/yelp,0.4932871871376543,nan,nan
7b/amazon,0.24177332780906055,-0.2547268466548314,nan
7b/goodreads,0.49262764976917706,-0.04609487696400013,nan
7b/yelp,0.5003094544714218,-0.018043335497390393,nan
