dataset,comparison,scope,metric,n,a_mean,b_mean,delta,ci_lo,ci_hi,p,verdict,p_bh,verdict_bh
amazon,eaa_nomerge7b_oracle_hmt-eaa_oracle_hm,classic,ndcg@5,376,0.39601759748394566,0.4287212647309399,-0.03270366724699433,-0.0770276612938116,0.009385028816877484,0.1228,ns,0.1416,ns
amazon,eaa_nomerge7b_oracle_hmt-eaa_oracle_hm,classic,hr@5,376,0.6276595744680851,0.648936170212766,-0.02127659574468085,-0.0797872340425532,0.03723404255319149,0.486,ns,0.486,ns
amazon,eaa_nomerge7b_oracle_hmt-eaa_oracle_hm,POOLED,ndcg@5,376,0.39601759748394566,0.4287212647309399,-0.03270366724699433,-0.07658077750077838,0.01088572773790386,0.1416,ns,0.1416,ns
amazon,eaa_nomerge7b_oracle_hmt-eaa_oracle_hm,POOLED,hr@5,376,0.6276595744680851,0.648936170212766,-0.02127659574468085,-0.0797872340425532,0.03723404255319149,0.4592,ns,0.486,ns
